operations_date,site_code,region,incidents_total,incidents_p1,incidents_p2,incidents_p3,work_orders_opened,corrective_work_orders,downtime_hours_total,sla_target_pct,availability_pct,sla_met_flag,capacity_utilization_pct,avg_hall_temperature_f,power_usage_mw,outage_flag,visitor_count,customer_tickets_opened
2024-01-27,ASH01,AMER-East,2,0,1,1,3,2,15.04,99.9,99.557,0,69.0,75.8,50.75,0,48,0
2024-01-28,ASH01,AMER-East,0,0,0,0,1,0,2.97,99.9,99.924,1,77.9,73.8,54.78,0,57,0
2024-01-29,ASH01,AMER-East,0,0,0,0,0,0,0.38,99.9,100.0,1,78.3,70.9,54.8,0,58,0
2024-01-30,ASH01,AMER-East,1,0,0,1,0,0,0.58,99.9,99.88,0,65.9,67.7,50.29,0,74,1
2024-01-31,ASH01,AMER-East,1,0,0,1,0,0,0.43,99.9,99.89,0,87.7,70.0,63.33,0,66,1
2024-02-01,ASH01,AMER-East,0,0,0,0,0,0,0.21,99.9,99.967,1,82.5,72.4,59.69,0,65,0
2024-02-02,ASH01,AMER-East,1,1,0,0,4,2,19.59,99.9,99.576,0,72.2,71.8,55.74,1,68,1
2024-02-03,ASH01,AMER-East,2,0,0,2,1,1,1.6,99.9,99.848,0,66.5,74.8,44.3,0,59,0
2024-02-04,ASH01,AMER-East,5,1,0,4,3,2,18.31,99.9,99.356,0,66.9,73.5,47.81,1,60,0
2024-02-05,ASH01,AMER-East,3,0,0,3,3,1,10.26,99.9,99.596,0,67.7,65.7,46.33,0,41,0
2024-02-06,ASH01,AMER-East,1,0,1,0,3,2,10.69,99.9,99.723,0,76.2,72.2,54.56,0,48,0
2024-02-07,ASH01,AMER-East,0,0,0,0,1,0,2.52,99.9,99.909,1,77.3,71.9,60.22,0,54,0
2024-02-08,ASH01,AMER-East,0,0,0,0,2,0,4.51,99.9,99.829,0,78.3,72.2,58.12,0,53,0
2024-02-09,ASH01,AMER-East,5,1,1,3,6,3,31.57,99.9,99.164,0,88.0,71.8,61.41,1,66,1
2024-02-10,ASH01,AMER-East,1,0,0,1,0,0,0.15,99.9,99.911,1,76.1,70.6,56.77,0,55,0
2024-02-11,ASH01,AMER-East,2,0,0,2,2,2,17.01,99.9,99.574,0,77.6,75.7,60.1,0,53,0
2024-02-12,ASH01,AMER-East,0,0,0,0,1,1,7.43,99.9,99.784,0,76.0,72.0,52.39,0,55,0
2024-02-13,ASH01,AMER-East,1,0,0,1,1,1,10.47,99.9,99.733,0,77.2,70.3,52.42,0,63,0
2024-02-14,ASH01,AMER-East,1,0,0,1,1,0,0.9,99.9,99.888,0,72.2,70.4,54.93,0,50,0
2024-02-15,ASH01,AMER-East,6,1,0,5,2,2,20.99,99.9,99.245,0,73.3,66.3,49.72,1,49,1
2024-02-16,ASH01,AMER-East,1,0,0,1,3,2,15.35,99.9,99.665,0,68.2,76.2,49.81,0,55,2
2024-02-17,ASH01,AMER-East,2,0,0,2,2,2,12.77,99.9,99.637,0,78.4,77.8,54.44,0,54,0
2024-02-18,ASH01,AMER-East,4,0,1,3,3,2,22.97,99.9,99.293,0,75.3,72.1,53.16,1,59,0
2024-02-19,ASH01,AMER-East,1,1,0,0,2,2,7.08,99.9,99.774,0,74.4,73.9,57.47,1,62,1
2024-02-20,ASH01,AMER-East,1,0,0,1,2,0,5.08,99.9,99.821,0,80.4,71.7,58.12,0,67,0
2024-02-21,ASH01,AMER-East,6,0,3,3,3,2,18.74,99.9,99.34,0,68.2,72.2,48.77,1,64,2
2024-02-22,ASH01,AMER-East,0,0,0,0,1,0,2.47,99.9,99.958,1,73.0,73.8,53.04,0,43,0
2024-02-23,ASH01,AMER-East,0,0,0,0,0,0,0.77,99.9,100.0,1,64.0,73.9,48.77,0,56,0
2024-02-24,ASH01,AMER-East,1,0,0,1,2,0,4.84,99.9,99.867,0,67.4,76.9,50.0,0,55,0
2024-02-25,ASH01,AMER-East,1,0,0,1,2,1,10.01,99.9,99.729,0,78.2,75.1,53.8,0,51,1
2024-02-26,ASH01,AMER-East,0,0,0,0,1,0,2.76,99.9,99.886,0,76.2,74.1,55.25,0,62,0
2024-02-27,ASH01,AMER-East,5,0,0,5,4,4,31.05,99.9,99.167,0,76.1,72.5,55.54,1,59,3
2024-02-28,ASH01,AMER-East,1,0,0,1,3,1,12.49,99.9,99.711,0,75.2,72.5,57.32,0,65,1
2024-02-29,ASH01,AMER-East,1,0,0,1,0,0,0.06,99.9,99.897,0,67.6,73.6,44.71,0,52,0
2024-03-01,ASH01,AMER-East,2,0,0,2,3,1,10.51,99.9,99.605,0,75.0,73.5,51.42,0,55,0
2024-03-02,ASH01,AMER-East,1,0,0,1,2,2,11.58,99.9,99.727,0,72.9,72.8,51.08,0,61,0
2024-03-03,ASH01,AMER-East,1,0,0,1,1,1,6.29,99.9,99.799,0,77.1,72.0,55.55,0,53,1
2024-03-04,ASH01,AMER-East,0,0,0,0,3,1,9.97,99.9,99.843,0,76.0,71.8,53.97,0,72,0
2024-03-05,ASH01,AMER-East,2,0,0,2,4,2,12.15,99.9,99.64,0,67.6,74.4,46.88,0,45,0
2024-03-06,ASH01,AMER-East,0,0,0,0,2,1,7.46,99.9,99.867,0,78.1,73.5,59.3,0,47,0
2024-03-07,ASH01,AMER-East,2,1,0,1,1,1,9.88,99.9,99.687,0,74.3,73.2,56.46,1,56,0
2024-03-08,ASH01,AMER-East,2,1,1,0,2,1,9.44,99.9,99.723,0,71.9,73.7,48.84,1,52,1
2024-03-09,ASH01,AMER-East,2,0,0,2,4,3,15.37,99.9,99.587,0,68.6,75.4,46.18,0,67,0
2024-03-10,ASH01,AMER-East,0,0,0,0,0,0,0.44,99.9,99.923,1,73.4,69.0,55.02,0,62,0
2024-03-11,ASH01,AMER-East,2,0,1,1,1,1,2.15,99.9,99.831,0,71.7,73.5,49.52,0,60,1
2024-03-12,ASH01,AMER-East,0,0,0,0,0,0,0.53,99.9,99.911,1,78.2,74.6,53.85,0,58,0
2024-03-13,ASH01,AMER-East,0,0,0,0,1,0,2.15,99.9,99.944,1,64.5,72.5,46.69,0,56,0
2024-03-14,ASH01,AMER-East,0,0,0,0,0,0,0.78,99.9,99.929,1,71.5,73.1,54.69,0,51,0
2024-03-15,ASH01,AMER-East,1,0,0,1,0,0,0.11,99.9,99.901,1,72.4,75.4,50.56,0,65,2
2024-03-16,ASH01,AMER-East,0,0,0,0,2,1,10.11,99.9,99.778,0,73.3,71.6,49.47,0,50,0
2024-03-17,ASH01,AMER-East,2,0,0,2,3,2,16.09,99.9,99.56,0,76.3,72.8,58.83,0,53,0
2024-03-18,ASH01,AMER-East,0,0,0,0,0,0,0.21,99.9,99.967,1,76.8,70.3,59.1,0,51,0
2024-03-19,ASH01,AMER-East,1,0,0,1,1,0,1.89,99.9,99.863,0,66.7,72.8,51.92,0,52,0
2024-03-20,ASH01,AMER-East,1,0,0,1,0,0,0.58,99.9,99.908,1,74.9,75.5,53.0,0,63,0
2024-03-21,ASH01,AMER-East,2,0,1,1,1,1,4.94,99.9,99.845,0,66.8,77.9,51.92,0,52,0
2024-03-22,ASH01,AMER-East,1,0,0,1,1,0,2.1,99.9,99.891,0,76.3,70.5,55.89,0,60,0
2024-03-23,ASH01,AMER-East,3,0,2,1,3,2,18.58,99.9,99.471,0,65.4,76.0,45.65,0,62,0
2024-03-24,ASH01,AMER-East,0,0,0,0,3,1,5.3,99.9,99.846,0,79.0,70.0,56.12,0,43,0
2024-03-25,ASH01,AMER-East,1,0,1,0,1,1,10.77,99.9,99.733,0,70.6,74.3,47.5,0,55,0
2024-03-26,ASH01,AMER-East,0,0,0,0,2,1,9.43,99.9,99.775,0,72.7,70.6,51.19,0,65,0
2024-03-27,ASH01,AMER-East,0,0,0,0,2,0,4.52,99.9,99.885,0,72.2,69.3,55.6,0,64,0
2024-03-28,ASH01,AMER-East,2,0,1,1,4,1,12.6,99.9,99.645,0,67.4,67.5,45.42,0,56,3
2024-03-29,ASH01,AMER-East,0,0,0,0,0,0,0.67,99.9,99.949,1,74.7,69.2,57.35,0,59,0
2024-03-30,ASH01,AMER-East,0,0,0,0,0,0,0.21,99.9,99.961,1,70.5,74.4,54.77,0,54,0
2024-03-31,ASH01,AMER-East,0,0,0,0,0,0,0.62,99.9,99.893,0,73.0,67.6,55.33,0,43,0
2024-04-01,ASH01,AMER-East,0,0,0,0,4,1,5.66,99.9,99.852,0,74.1,71.9,56.77,0,51,0
2024-04-02,ASH01,AMER-East,5,0,1,4,3,2,14.33,99.9,99.41,0,68.2,75.8,50.94,0,45,1
2024-04-03,ASH01,AMER-East,4,0,1,3,4,3,18.25,99.9,99.471,0,75.1,67.2,51.04,0,67,0
2024-04-04,ASH01,AMER-East,0,0,0,0,1,1,6.66,99.9,99.843,0,81.5,74.3,56.25,0,63,0
2024-04-05,ASH01,AMER-East,3,0,0,3,2,2,9.55,99.9,99.656,0,73.6,74.5,50.1,0,52,0
2024-04-06,ASH01,AMER-East,0,0,0,0,1,1,2.97,99.9,99.909,1,71.6,76.3,51.78,0,51,0
2024-04-07,ASH01,AMER-East,2,0,0,2,3,2,14.7,99.9,99.637,0,74.6,72.3,54.95,0,62,2
2024-04-08,ASH01,AMER-East,2,0,0,2,3,2,15.51,99.9,99.605,0,70.8,71.0,46.89,0,57,0
2024-04-09,ASH01,AMER-East,3,0,1,2,4,0,8.94,99.9,99.595,0,71.1,69.3,54.99,0,43,1
2024-04-10,ASH01,AMER-East,1,0,0,1,1,1,11.3,99.9,99.7,0,65.2,73.4,47.42,0,64,0
2024-04-11,ASH01,AMER-East,1,0,0,1,2,0,3.48,99.9,99.85,0,70.9,73.2,54.81,0,64,0
2024-04-12,ASH01,AMER-East,3,0,0,3,1,1,6.06,99.9,99.669,0,64.4,69.3,43.15,0,60,2
2024-04-13,ASH01,AMER-East,2,0,0,2,2,1,6.57,99.9,99.791,0,83.9,72.3,58.43,0,69,1
2024-04-14,ASH01,AMER-East,1,0,0,1,2,1,11.53,99.9,99.762,0,82.2,77.1,57.95,0,47,0
2024-04-15,ASH01,AMER-East,2,0,2,0,3,2,13.41,99.9,99.641,0,79.3,72.0,53.68,0,56,0
2024-04-16,ASH01,AMER-East,0,0,0,0,1,0,1.3,99.9,99.936,1,78.1,77.5,55.8,0,61,0
2024-04-17,ASH01,AMER-East,1,0,0,1,2,0,7.16,99.9,99.79,0,78.8,72.3,58.54,0,48,1
2024-04-18,ASH01,AMER-East,1,0,0,1,3,2,19.63,99.9,99.569,0,66.7,69.2,50.91,0,44,0
2024-04-19,ASH01,AMER-East,3,1,1,1,0,0,0.37,99.9,99.762,0,76.7,71.2,56.74,1,66,3
2024-04-20,ASH01,AMER-East,1,0,0,1,5,1,11.26,99.9,99.692,0,77.7,69.6,58.33,0,57,2
2024-04-21,ASH01,AMER-East,1,0,0,1,3,1,7.24,99.9,99.765,0,85.0,74.2,64.37,0,61,0
2024-04-22,ASH01,AMER-East,0,0,0,0,2,0,4.16,99.9,99.893,0,68.8,73.8,48.55,0,54,0
2024-04-23,ASH01,AMER-East,4,0,0,4,4,2,15.26,99.9,99.485,0,75.8,72.7,57.57,0,58,1
2024-04-24,ASH01,AMER-East,1,0,0,1,3,2,12.13,99.9,99.705,0,75.8,71.3,53.71,0,58,0
2024-04-25,ASH01,AMER-East,1,0,0,1,2,0,2.96,99.9,99.914,1,83.8,75.9,64.87,0,56,1
2024-04-26,ASH01,AMER-East,1,0,0,1,1,1,7.6,99.9,99.816,0,66.6,75.3,50.62,0,71,0
2024-04-27,ASH01,AMER-East,1,0,0,1,0,0,0.5,99.9,99.9,1,79.2,67.3,61.68,0,61,0
2024-04-28,ASH01,AMER-East,5,0,0,5,2,2,14.78,99.9,99.435,0,70.1,72.4,52.68,0,62,1
2024-04-29,ASH01,AMER-East,2,0,0,2,0,0,0.3,99.9,99.89,0,74.3,75.4,54.98,0,57,0
2024-04-30,ASH01,AMER-East,0,0,0,0,0,0,0.24,99.9,99.962,1,73.8,73.6,52.94,0,45,0
2024-05-01,ASH01,AMER-East,1,0,0,1,0,0,0.21,99.9,99.905,1,80.1,71.3,57.62,0,43,0
2024-05-02,ASH01,AMER-East,1,1,0,0,2,1,12.93,99.9,99.628,0,76.5,70.5,52.94,1,59,0
2024-05-03,ASH01,AMER-East,3,0,2,1,5,5,28.11,99.9,99.319,0,74.5,72.3,51.37,1,68,1
2024-05-04,ASH01,AMER-East,2,0,0,2,3,2,15.43,99.9,99.583,0,73.9,70.5,53.31,0,53,0
2024-05-05,ASH01,AMER-East,1,0,0,1,0,0,0.71,99.9,99.881,0,71.5,75.2,49.25,0,38,2
2024-05-06,ASH01,AMER-East,0,0,0,0,3,2,19.34,99.9,99.614,0,74.4,71.0,56.71,0,54,0
2024-05-07,ASH01,AMER-East,0,0,0,0,1,1,2.67,99.9,99.954,1,72.0,69.7,55.36,0,61,1
2024-05-08,ASH01,AMER-East,1,0,1,0,2,0,5.57,99.9,99.795,0,73.6,70.3,53.04,0,63,0
2024-05-09,ASH01,AMER-East,1,1,0,0,2,0,4.54,99.9,99.838,0,73.3,73.7,49.83,1,60,1
2024-05-10,ASH01,AMER-East,4,0,1,3,4,1,16.48,99.9,99.462,0,77.4,73.5,53.04,0,54,1
2024-05-11,ASH01,AMER-East,4,0,0,4,2,2,14.97,99.9,99.526,0,69.2,77.0,49.64,0,62,0
2024-05-12,ASH01,AMER-East,2,1,0,1,3,2,16.88,99.9,99.583,0,76.8,71.3,55.07,1,53,0
2024-05-13,ASH01,AMER-East,1,0,0,1,2,1,7.5,99.9,99.733,0,71.6,76.1,47.37,0,59,0
2024-05-14,ASH01,AMER-East,1,0,0,1,2,1,8.42,99.9,99.723,0,72.4,78.0,51.5,0,57,1
2024-05-15,ASH01,AMER-East,0,0,0,0,4,0,5.48,99.9,99.826,0,76.0,72.2,54.07,0,45,0
2024-05-16,ASH01,AMER-East,1,0,0,1,1,0,2.06,99.9,99.868,0,72.1,74.0,55.59,0,54,0
2024-05-17,ASH01,AMER-East,2,0,0,2,2,2,11.26,99.9,99.676,0,74.8,71.3,49.62,0,45,1
2024-05-18,ASH01,AMER-East,4,0,1,3,3,1,11.29,99.9,99.504,0,77.6,70.1,53.36,0,54,1
2024-05-19,ASH01,AMER-East,1,0,0,1,4,2,17.47,99.9,99.643,0,66.1,74.3,48.42,0,60,0
2024-05-20,ASH01,AMER-East,1,0,0,1,1,0,2.99,99.9,99.887,0,75.8,70.8,54.21,0,61,0
2024-05-21,ASH01,AMER-East,1,0,0,1,2,2,2.59,99.9,99.803,0,66.2,69.5,43.84,0,48,1
2024-05-22,ASH01,AMER-East,1,0,0,1,2,2,5.48,99.9,99.769,0,81.2,71.8,53.77,0,52,0
2024-05-23,ASH01,AMER-East,3,2,0,1,2,1,12.89,99.9,99.578,0,77.7,70.6,51.31,1,72,1
2024-05-24,ASH01,AMER-East,6,0,1,5,3,2,18.97,99.9,99.321,0,73.3,73.5,51.59,1,54,1
2024-05-25,ASH01,AMER-East,0,0,0,0,1,0,1.83,99.9,99.954,1,66.5,71.1,47.76,0,55,0
2024-05-26,ASH01,AMER-East,0,0,0,0,3,0,5.02,99.9,99.923,1,75.4,72.1,52.72,0,53,0
2024-05-27,ASH01,AMER-East,2,1,0,1,1,0,2.81,99.9,99.804,0,76.1,72.2,55.72,1,78,0
2024-05-28,ASH01,AMER-East,3,0,0,3,4,2,16.29,99.9,99.576,0,78.3,73.9,59.76,0,60,2
2024-05-29,ASH01,AMER-East,1,0,0,1,0,0,0.27,99.9,99.934,1,87.4,66.6,64.41,0,65,0
2024-05-30,ASH01,AMER-East,1,0,1,0,0,0,0.33,99.9,99.914,1,74.7,74.2,54.65,0,65,0
2024-05-31,ASH01,AMER-East,1,0,0,1,0,0,0.15,99.9,99.918,1,84.7,72.7,63.09,0,44,0
2024-06-01,ASH01,AMER-East,0,0,0,0,0,0,0.6,99.9,99.992,1,82.1,71.2,58.69,0,62,0
2024-06-02,ASH01,AMER-East,1,0,0,1,2,1,2.38,99.9,99.89,0,70.7,74.8,51.95,0,53,1
2024-06-03,ASH01,AMER-East,3,0,2,1,1,1,4.97,99.9,99.771,0,86.0,73.0,62.27,0,66,0
2024-06-04,ASH01,AMER-East,1,0,0,1,2,1,6.07,99.9,99.82,0,82.1,68.2,59.51,0,63,0
2024-06-05,ASH01,AMER-East,2,0,0,2,3,1,5.22,99.9,99.775,0,86.0,75.0,66.01,0,69,1
2024-06-06,ASH01,AMER-East,0,0,0,0,2,0,7.61,99.9,99.848,0,82.9,77.8,60.15,0,62,0
2024-06-07,ASH01,AMER-East,3,0,2,1,5,4,46.86,99.9,98.992,0,79.1,68.3,58.16,1,60,1
2024-06-08,ASH01,AMER-East,1,0,0,1,2,1,10.79,99.9,99.755,0,81.6,69.8,57.19,0,62,0
2024-06-09,ASH01,AMER-East,1,0,0,1,2,0,2.7,99.9,99.816,0,80.3,76.9,58.01,0,55,1
2024-06-10,ASH01,AMER-East,5,1,0,4,3,3,24.08,99.9,99.295,0,77.8,69.9,56.9,1,48,3
2024-06-11,ASH01,AMER-East,2,0,0,2,2,1,9.63,99.9,99.697,0,85.8,68.6,57.6,0,60,0
2024-06-12,ASH01,AMER-East,3,0,0,3,4,3,28.06,99.9,99.244,0,88.6,69.6,65.11,1,51,1
2024-06-13,ASH01,AMER-East,1,0,0,1,1,1,3.08,99.9,99.87,0,81.2,69.5,56.8,0,64,0
2024-06-14,ASH01,AMER-East,0,0,0,0,1,0,2.2,99.9,99.906,1,89.5,74.3,59.52,0,54,0
2024-06-15,ASH01,AMER-East,3,0,0,3,2,1,10.7,99.9,99.62,0,80.0,72.7,62.31,0,59,0
2024-06-16,ASH01,AMER-East,1,0,0,1,4,3,10.55,99.9,99.754,0,68.9,71.5,51.58,0,65,1
2024-06-17,ASH01,AMER-East,0,0,0,0,2,0,2.52,99.9,99.939,1,74.3,71.8,55.21,0,70,0
2024-06-18,ASH01,AMER-East,3,0,0,3,2,2,23.27,99.9,99.416,0,78.3,68.2,52.55,0,55,0
2024-06-19,ASH01,AMER-East,1,0,0,1,3,3,18.38,99.9,99.622,0,80.4,76.6,55.65,0,67,1
2024-06-20,ASH01,AMER-East,2,0,0,2,2,1,10.23,99.9,99.676,0,82.0,74.4,58.1,0,70,0
2024-06-21,ASH01,AMER-East,2,0,0,2,4,1,12.71,99.9,99.594,0,77.9,74.7,53.0,0,56,0
2024-06-22,ASH01,AMER-East,2,0,1,1,2,1,13.93,99.9,99.667,0,76.1,72.0,58.3,0,44,0
2024-06-23,ASH01,AMER-East,3,0,0,3,1,1,3.6,99.9,99.762,0,84.5,71.0,58.55,0,75,1
2024-06-24,ASH01,AMER-East,0,0,0,0,2,0,3.56,99.9,99.93,1,77.8,72.0,56.27,0,52,0
2024-06-25,ASH01,AMER-East,2,0,0,2,2,2,18.98,99.9,99.542,0,83.2,69.1,56.07,0,57,1
2024-06-26,ASH01,AMER-East,1,0,0,1,0,0,0.51,99.9,99.942,1,79.5,68.3,59.39,0,60,0
2024-06-27,ASH01,AMER-East,2,0,0,2,3,1,6.41,99.9,99.726,0,83.4,75.2,55.19,0,57,1
2024-06-28,ASH01,AMER-East,1,0,0,1,2,1,6.55,99.9,99.809,0,74.1,72.0,53.24,0,54,0
2024-06-29,ASH01,AMER-East,1,0,0,1,0,0,0.09,99.9,99.925,1,74.5,70.7,53.12,0,64,2
2024-06-30,ASH01,AMER-East,1,0,0,1,0,0,0.34,99.9,99.932,1,81.0,72.8,57.95,0,59,0
2024-07-01,ASH01,AMER-East,1,0,1,0,3,1,6.57,99.9,99.754,0,81.8,72.5,60.22,0,64,0
2024-07-02,ASH01,AMER-East,1,0,0,1,0,0,0.49,99.9,99.91,1,81.3,74.4,62.13,0,63,1
2024-07-03,ASH01,AMER-East,2,2,0,0,2,2,12.45,99.9,99.635,0,84.5,67.7,58.29,1,59,1
2024-07-04,ASH01,AMER-East,0,0,0,0,1,1,7.16,99.9,99.832,0,81.1,69.8,56.62,0,59,0
2024-07-05,ASH01,AMER-East,1,0,1,0,1,0,3.05,99.9,99.837,0,91.6,71.8,64.48,0,65,0
2024-07-06,ASH01,AMER-East,2,0,0,2,4,3,20.8,99.9,99.515,0,83.0,75.9,58.66,0,65,1
2024-07-07,ASH01,AMER-East,1,0,0,1,1,0,1.63,99.9,99.914,1,88.4,71.6,62.22,0,58,1
2024-07-08,ASH01,AMER-East,0,0,0,0,0,0,0.06,99.9,99.998,1,78.9,72.4,56.9,0,58,0
2024-07-09,ASH01,AMER-East,5,0,0,5,5,4,21.14,99.9,99.333,0,80.3,66.7,59.72,1,64,1
2024-07-10,ASH01,AMER-East,0,0,0,0,0,0,0.24,99.9,99.968,1,82.3,77.1,60.03,0,54,0
2024-07-11,ASH01,AMER-East,0,0,0,0,3,2,3.99,99.9,99.835,0,79.3,65.0,52.91,0,47,1
2024-07-12,ASH01,AMER-East,1,0,0,1,0,0,0.47,99.9,99.91,1,83.8,73.2,60.75,0,45,2
2024-07-13,ASH01,AMER-East,0,0,0,0,0,0,0.63,99.9,99.988,1,79.7,72.8,58.37,0,64,0
2024-07-14,ASH01,AMER-East,4,0,0,4,4,4,35.29,99.9,99.114,0,80.7,73.2,62.39,1,50,0
2024-07-15,ASH01,AMER-East,3,0,1,2,5,4,37.64,99.9,99.173,0,80.8,71.4,59.03,1,64,1
2024-07-16,ASH01,AMER-East,3,0,0,3,5,1,16.67,99.9,99.495,0,89.6,75.2,61.72,0,56,0
2024-07-17,ASH01,AMER-East,2,0,1,1,3,1,17.05,99.9,99.574,0,80.0,70.9,61.0,0,56,0
2024-07-18,ASH01,AMER-East,0,0,0,0,2,1,5.08,99.9,99.891,0,76.4,65.6,55.67,0,51,0
2024-07-19,ASH01,AMER-East,2,0,0,2,4,2,17.5,99.9,99.559,0,74.3,71.0,56.2,0,47,0
2024-07-20,ASH01,AMER-East,1,0,0,1,1,1,0.93,99.9,99.899,0,78.4,73.4,56.82,0,65,0
2024-07-21,ASH01,AMER-East,8,0,1,7,4,3,25.42,99.9,99.146,0,74.3,69.8,56.04,1,53,1
2024-07-22,ASH01,AMER-East,2,0,0,2,2,1,8.4,99.9,99.704,0,89.4,70.5,61.17,0,64,0
2024-07-23,ASH01,AMER-East,0,0,0,0,1,1,4.23,99.9,99.928,1,80.0,72.7,55.88,0,65,0
2024-07-24,ASH01,AMER-East,2,0,1,1,3,1,7.81,99.9,99.71,0,74.7,73.8,58.06,0,58,0
2024-07-25,ASH01,AMER-East,2,0,1,1,5,3,29.31,99.9,99.338,0,81.6,72.4,61.16,1,61,2
2024-07-26,ASH01,AMER-East,2,1,0,1,2,1,15.54,99.9,99.579,0,75.9,73.9,57.75,1,57,2
2024-07-27,ASH01,AMER-East,0,0,0,0,0,0,0.79,99.9,99.931,1,81.3,70.6,56.87,0,47,0
2024-07-28,ASH01,AMER-East,6,0,3,3,2,2,8.8,99.9,99.526,0,87.8,72.7,63.76,0,57,3
2024-07-29,ASH01,AMER-East,2,0,1,1,0,0,0.17,99.9,99.884,0,84.9,74.1,64.24,0,50,0
2024-07-30,ASH01,AMER-East,2,0,0,2,0,0,0.46,99.9,99.864,0,76.5,71.1,53.91,0,58,1
2024-07-31,ASH01,AMER-East,1,0,0,1,0,0,0.47,99.9,99.952,1,84.3,75.1,64.47,0,49,0
2024-08-01,ASH01,AMER-East,3,0,0,3,2,2,10.89,99.9,99.587,0,82.6,70.0,59.06,0,68,1
2024-08-02,ASH01,AMER-East,3,0,2,1,2,1,9.01,99.9,99.636,0,75.8,73.2,56.11,0,57,0
2024-08-03,ASH01,AMER-East,0,0,0,0,0,0,0.64,99.9,99.967,1,80.4,70.3,57.1,0,47,0
2024-08-04,ASH01,AMER-East,1,0,1,0,2,1,10.66,99.9,99.682,0,70.4,73.5,46.61,0,53,0
2024-08-05,ASH01,AMER-East,3,0,1,2,4,2,26.4,99.9,99.331,0,83.1,69.6,62.97,1,65,3
2024-08-06,ASH01,AMER-East,1,0,0,1,2,1,12.75,99.9,99.669,0,80.8,76.2,60.67,0,52,1
2024-08-07,ASH01,AMER-East,2,0,0,2,2,1,13.64,99.9,99.621,0,83.2,72.2,62.6,0,49,1
2024-08-08,ASH01,AMER-East,4,0,2,2,1,1,10.96,99.9,99.573,0,72.2,75.2,56.04,0,69,1
